age,sleep_hours,screen_time_hours,water_intake,exercise_frequency,work_study_hours,break_frequency,multitasking,stress_level,social_time_hours,relationship_quality,hobbies,mental_wellbeing_score,data_source
21,5,8,4,I exercise 1 to 2 days a week,4,Often,Yes,3,4,Good,No,6,Real
30,10,1,4,I exercise 3 to 5 days a week,4,Sometimes,No,5,2,Average,Yes,3,Real
19,6,3,5,I exercise 3 to 5 days a week,8,Often,Yes,3,3,Excellent,Yes,10,Real
60,7,5,2,I do not exercise at all,2,Often,No,2,2,Average,Yes,2,Real
18,6,3,3,I exercise 1 to 2 days a week,5,Sometimes,No,4,5,Average,Yes,8,Real
25,7,6,2,I exercise 3 to 5 days a week,6,Often,No,5,5,Good,No,7,Real
30,4,6,3,I exercise 3 to 5 days a week,6,Sometimes,No,5,4,Good,No,9,Real
21,8,8,2,I do not exercise at all,0,Often,No,1,6,Excellent,No,1,Real
22,6,7,1,I do not exercise at all,1,Often,No,1,4,Excellent,No,10,Real
20,7,5,4,I exercise 3 to 5 days a week,4,Sometimes,No,1,1,Excellent,No,10,Real
20,5,4,3,I exercise 1 to 2 days a week,3,Sometimes,No,3,1,Average,Yes,3,Real
21,7,5,4,I exercise 3 to 5 days a week,5,Sometimes,Yes,2,2,Excellent,Yes,10,Real
23,7,3,3,I exercise 1 to 2 days a week,3,Sometimes,No,3,3,Good,No,6,Real
20,6,2,4,I exercise 3 to 5 days a week,0,Rarely,No,3,3,Excellent,Yes,8,Real
50,6,2,4,I exercise 3 to 5 days a week,6,Rarely,No,1,5,Excellent,Yes,10,Real
22,4,6,3,I exercise 3 to 5 days a week,5,Often,Yes,3,4,Good,Yes,8,Real
30,5,6,4,I exercise almost every day,5,Sometimes,No,3,5,Excellent,No,7,Real
22,4,4,4,I exercise almost every day,8,Sometimes,Yes,2,6,Excellent,Yes,10,Real
20,7,4,5,I exercise 1 to 2 days a week,5,Sometimes,Yes,1,6,Excellent,Yes,10,Real
25,4,3,4,I exercise almost every day,4,Often,No,2,4,Good,Yes,8,Real
21,5,6,4,I do not exercise at all,5,Sometimes,Yes,3,1,Good,Yes,6,Real
20,7,5,3,I exercise 1 to 2 days a week,4,Often,No,3,3,Good,Yes,7,Real
22,8,6,4,I exercise 1 to 2 days a week,2,Often,Yes,2,3,Good,Yes,8,Real
22,5,8,2,I exercise almost every day,5,Often,Yes,5,1,Good,Yes,1,Real
21,5,6,1,I do not exercise at all,2,Sometimes,No,3,1,Good,No,7,Real
22,7,4,3,I exercise 3 to 5 days a week,4,Sometimes,Yes,1,4,Excellent,Yes,9,Real
19,6,4,1,I do not exercise at all,0,Often,Yes,1,2,Good,No,8,Real
19,6,3,1,I do not exercise at all,0,Often,Yes,1,2,Good,No,7,Real
18,6,3,1,I do not exercise at all,0,Often,Yes,3,3,Good,Yes,6,Real
26,8,2,3,I exercise 1 to 2 days a week,8,Often,No,1,3,Excellent,Yes,8,Real
32,7,8,4,I exercise 1 to 2 days a week,8,Sometimes,No,2,2,Good,Yes,10,Real
33,9,2,3,I exercise almost every day,8,Rarely,Yes,4,1,Average,No,4,Real
40,6,1,3,I exercise 3 to 5 days a week,8,Sometimes,No,5,1,Average,No,4,Real
20,5,5,2,I do not exercise at all,8,Sometimes,Yes,3,2,Excellent,Yes,6,Real
21,7,2,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,2,4,Average,No,4,Real
20,7,4,3,I exercise almost every day,0,Rarely,Yes,2,1,Poor,Yes,1,Real
21,8,5,2,I exercise 1 to 2 days a week,3,Sometimes,Yes,1,3,Good,Yes,5,Real
34,7,3,3,I do not exercise at all,8,Often,Yes,5,1,Average,No,2,Real
23,4,7,2,I do not exercise at all,8,Often,Yes,5,5,Poor,No,1,Real
20,7,5,2,I do not exercise at all,2,Rarely,Yes,1,3,Excellent,Yes,6,Real
21,6,7,3,I exercise 3 to 5 days a week,6,Often,Yes,2,4,Good,Yes,6,Real
21,3,5,4,I do not exercise at all,3,Sometimes,Yes,2,1,Average,Yes,1,Real
21,4,3,4,I exercise 3 to 5 days a week,3,Rarely,Yes,4,4,Average,Yes,3,Real
21,6,4,5,I exercise almost every day,6,Sometimes,No,4,5,Good,Yes,8,Real
22,1,4,4,I exercise 1 to 2 days a week,4,Often,Yes,4,1,Good,Yes,5,Real
21,4,5,5,I exercise 3 to 5 days a week,6,Rarely,Yes,3,4,Average,Yes,4,Real
20,3,2,3,I exercise 3 to 5 days a week,3,Rarely,No,3,2,Excellent,Yes,10,Real
21,4,5,3,I exercise 1 to 2 days a week,8,Often,No,5,6,Good,No,10,Real
19,7,1,5,I exercise almost every day,5,Rarely,No,2,3,Average,Yes,7,Real
21,4,4,3,I exercise 1 to 2 days a week,4,Rarely,No,4,1,Average,Yes,4,Real
23,4,4,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,3,4,Good,Yes,3,Real
69,9,7,4,I exercise 3 to 5 days a week,4,Often,Yes,4,5,Good,No,8,Real
69,6,4,5,I exercise 3 to 5 days a week,5,Sometimes,No,4,5,Good,No,6,Real
21,9,7,3,I exercise 1 to 2 days a week,5,Sometimes,Yes,1,3,Good,Yes,10,Real
36,8,4,2,I do not exercise at all,0,Rarely,No,2,2,Average,No,2,Real
23,6,6,4,I exercise 1 to 2 days a week,6,Sometimes,Yes,3,5,Average,No,6,Real
24,8,1,4,I exercise 3 to 5 days a week,6,Often,No,1,3,Excellent,Yes,10,Real
20,10,8,5,I exercise almost every day,8,Often,No,1,6,Excellent,Yes,3,Real
22,7,3,4,I exercise 3 to 5 days a week,3,Rarely,No,2,3,Excellent,Yes,8,Real
30,3,8,4,I exercise 3 to 5 days a week,4,Sometimes,No,5,1,Average,Yes,4,Synthetic
21,5,6,3,I exercise 1 to 2 days a week,4,Rarely,No,5,3,Average,Yes,4,Synthetic
19,4,7,3,I exercise almost every day,2,Sometimes,Yes,5,3,Average,Yes,1,Synthetic
23,4,6,2,I do not exercise at all,8,Often,Yes,4,2,Poor,No,1,Synthetic
21,5,7,2,I do not exercise at all,0,Often,No,4,3,Excellent,No,4,Synthetic
21,1,8,4,I exercise 1 to 2 days a week,4,Sometimes,Yes,4,1,Average,Yes,3,Synthetic
21,5,6,3,I exercise 1 to 2 days a week,4,Rarely,No,4,1,Average,Yes,1,Synthetic
30,1,6,4,I exercise 3 to 5 days a week,4,Sometimes,No,5,1,Average,Yes,1,Synthetic
21,3,8,2,I do not exercise at all,0,Often,No,5,1,Excellent,No,4,Synthetic
21,3,8,2,I do not exercise at all,5,Sometimes,Yes,4,3,Good,Yes,1,Synthetic
19,1,8,1,I do not exercise at all,4,Rarely,Yes,5,2,Good,Yes,2,Synthetic
21,5,7,4,I exercise 3 to 5 days a week,3,Rarely,Yes,4,3,Average,Yes,4,Synthetic
19,1,7,3,I exercise almost every day,2,Sometimes,Yes,5,3,Average,Yes,2,Synthetic
19,4,8,3,I exercise almost every day,2,Sometimes,Yes,5,2,Average,Yes,2,Synthetic
23,1,7,2,I do not exercise at all,8,Often,Yes,5,3,Poor,No,3,Synthetic
60,5,6,2,I do not exercise at all,2,Often,No,4,2,Average,Yes,1,Synthetic
22,1,8,2,I exercise almost every day,5,Often,Yes,5,1,Good,Yes,4,Synthetic
19,3,6,1,I do not exercise at all,4,Rarely,Yes,5,2,Good,Yes,1,Synthetic
21,3,6,5,I exercise 3 to 5 days a week,6,Rarely,Yes,4,3,Average,Yes,4,Synthetic
22,3,8,4,I exercise 1 to 2 days a week,0,Often,Yes,4,3,Poor,No,2,Synthetic
21,4,8,4,I exercise 1 to 2 days a week,4,Sometimes,Yes,5,1,Average,Yes,1,Synthetic
21,1,6,4,I exercise 3 to 5 days a week,3,Rarely,Yes,4,2,Average,Yes,3,Synthetic
40,4,7,3,I exercise 3 to 5 days a week,8,Sometimes,No,4,1,Average,No,4,Synthetic
32,3,7,4,I exercise 1 to 2 days a week,0,Sometimes,No,5,2,Average,No,4,Synthetic
36,1,7,2,I do not exercise at all,0,Rarely,No,4,3,Average,No,4,Synthetic
21,4,7,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,5,2,Average,No,3,Synthetic
19,3,7,3,I exercise almost every day,2,Sometimes,Yes,5,2,Average,Yes,3,Synthetic
30,1,8,4,I exercise 3 to 5 days a week,4,Sometimes,No,4,2,Average,Yes,3,Synthetic
40,3,6,3,I exercise 3 to 5 days a week,8,Sometimes,No,4,1,Average,No,4,Synthetic
22,5,7,2,I exercise almost every day,5,Often,Yes,5,1,Good,Yes,3,Synthetic
34,4,7,3,I do not exercise at all,8,Often,Yes,4,2,Average,No,2,Synthetic
21,5,8,5,I exercise 3 to 5 days a week,6,Rarely,Yes,4,3,Average,Yes,1,Synthetic
23,5,6,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,5,3,Good,Yes,2,Synthetic
21,5,8,4,I do not exercise at all,3,Sometimes,Yes,4,2,Average,Yes,3,Synthetic
23,1,8,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,4,1,Good,Yes,1,Synthetic
21,1,6,4,I do not exercise at all,3,Sometimes,Yes,5,2,Average,Yes,2,Synthetic
20,1,8,3,I exercise almost every day,0,Rarely,Yes,5,3,Poor,Yes,3,Synthetic
21,5,8,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,4,3,Average,No,3,Synthetic
21,3,6,4,I exercise 1 to 2 days a week,4,Sometimes,Yes,4,2,Average,Yes,2,Synthetic
60,5,7,2,I do not exercise at all,2,Often,No,5,3,Average,Yes,3,Synthetic
21,1,8,2,I do not exercise at all,0,Often,No,5,3,Excellent,No,2,Synthetic
21,3,6,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,4,1,Average,No,3,Synthetic
60,1,6,2,I do not exercise at all,2,Often,No,5,2,Average,Yes,2,Synthetic
36,4,8,2,I do not exercise at all,0,Rarely,No,4,3,Average,No,4,Synthetic
30,3,8,4,I exercise 3 to 5 days a week,4,Sometimes,No,4,2,Average,Yes,1,Synthetic
21,4,8,2,I do not exercise at all,0,Often,No,4,1,Excellent,No,3,Synthetic
21,4,7,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,4,3,Average,No,2,Synthetic
30,3,6,4,I exercise 3 to 5 days a week,4,Sometimes,No,5,3,Average,Yes,3,Synthetic
19,5,8,1,I do not exercise at all,0,Often,No,5,3,Excellent,No,1,Synthetic
22,1,8,2,I exercise almost every day,5,Often,Yes,5,3,Good,Yes,1,Synthetic
19,1,7,3,I exercise almost every day,2,Sometimes,Yes,5,3,Average,Yes,1,Synthetic
33,5,6,3,I exercise almost every day,8,Rarely,Yes,4,3,Average,No,2,Synthetic
22,4,6,2,I exercise almost every day,5,Often,Yes,4,1,Good,Yes,4,Synthetic
40,5,6,3,I exercise 3 to 5 days a week,8,Sometimes,No,5,1,Average,No,2,Synthetic
21,4,7,2,I do not exercise at all,5,Sometimes,Yes,4,1,Good,Yes,1,Synthetic
21,5,7,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,5,1,Average,No,4,Synthetic
23,1,7,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,4,1,Good,Yes,2,Synthetic
30,3,6,4,I exercise 3 to 5 days a week,4,Sometimes,No,5,1,Average,Yes,3,Synthetic
21,5,8,3,I exercise 1 to 2 days a week,4,Rarely,No,5,3,Average,Yes,1,Synthetic
30,1,6,4,I exercise 3 to 5 days a week,4,Sometimes,No,4,1,Average,Yes,3,Synthetic
21,5,7,2,I do not exercise at all,5,Sometimes,Yes,4,1,Good,Yes,1,Synthetic
30,4,8,4,I exercise 3 to 5 days a week,4,Sometimes,No,5,3,Average,Yes,1,Synthetic
21,4,7,2,I do not exercise at all,5,Sometimes,Yes,5,1,Good,Yes,2,Synthetic
20,1,8,3,I exercise 1 to 2 days a week,3,Sometimes,No,5,3,Average,Yes,4,Synthetic
21,1,6,3,I exercise 1 to 2 days a week,4,Rarely,No,4,2,Average,Yes,2,Synthetic
20,1,8,5,I exercise almost every day,8,Often,No,4,3,Excellent,Yes,1,Synthetic
60,5,8,2,I do not exercise at all,2,Often,No,4,2,Average,Yes,3,Synthetic
23,4,6,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,5,3,Good,Yes,1,Synthetic
30,4,7,4,I exercise 3 to 5 days a week,4,Sometimes,No,5,3,Average,Yes,4,Synthetic
19,4,6,2,I do not exercise at all,4,Sometimes,No,4,2,Poor,No,1,Synthetic
36,3,8,2,I do not exercise at all,0,Rarely,No,5,3,Average,No,4,Synthetic
21,3,7,4,I do not exercise at all,3,Sometimes,Yes,4,3,Average,Yes,3,Synthetic
21,5,8,3,I exercise 1 to 2 days a week,4,Rarely,No,4,1,Average,Yes,3,Synthetic
36,5,8,2,I do not exercise at all,0,Rarely,No,5,2,Average,No,2,Synthetic
20,1,6,5,I exercise almost every day,8,Often,No,4,3,Excellent,Yes,1,Synthetic
20,5,6,3,I exercise 1 to 2 days a week,3,Sometimes,No,4,3,Average,Yes,4,Synthetic
19,1,8,2,I do not exercise at all,4,Sometimes,No,5,2,Poor,No,1,Synthetic
40,1,7,3,I exercise 3 to 5 days a week,8,Sometimes,No,4,2,Average,No,4,Synthetic
32,3,8,4,I exercise 1 to 2 days a week,0,Sometimes,No,4,2,Average,No,2,Synthetic
20,1,7,3,I exercise almost every day,0,Rarely,Yes,5,2,Poor,Yes,4,Synthetic
60,5,7,2,I do not exercise at all,2,Often,No,4,1,Average,Yes,4,Synthetic
21,5,7,4,I exercise 3 to 5 days a week,3,Rarely,Yes,5,1,Average,Yes,3,Synthetic
19,1,7,3,I exercise almost every day,2,Sometimes,Yes,5,2,Average,Yes,2,Synthetic
23,5,7,2,I do not exercise at all,8,Often,Yes,4,2,Poor,No,1,Synthetic
40,5,8,3,I exercise 3 to 5 days a week,8,Sometimes,No,4,3,Average,No,2,Synthetic
19,1,6,1,I do not exercise at all,4,Rarely,Yes,5,1,Good,Yes,4,Synthetic
21,5,6,4,I exercise 1 to 2 days a week,4,Sometimes,Yes,4,2,Average,Yes,2,Synthetic
33,5,8,3,I exercise almost every day,8,Rarely,Yes,5,2,Average,No,4,Synthetic
21,3,7,4,I exercise 3 to 5 days a week,3,Rarely,Yes,5,3,Average,Yes,3,Synthetic
19,5,6,1,I do not exercise at all,4,Rarely,Yes,5,3,Good,Yes,4,Synthetic
19,5,7,1,I do not exercise at all,0,Often,No,4,1,Excellent,No,2,Synthetic
19,5,8,3,I exercise almost every day,2,Sometimes,Yes,5,2,Average,Yes,4,Synthetic
60,4,7,2,I do not exercise at all,2,Often,No,5,2,Average,Yes,1,Synthetic
23,3,7,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,5,1,Good,Yes,3,Synthetic
19,4,8,3,I exercise almost every day,2,Sometimes,Yes,4,1,Average,Yes,4,Synthetic
21,3,7,4,I exercise 1 to 2 days a week,4,Sometimes,Yes,4,1,Average,Yes,3,Synthetic
21,4,6,2,I do not exercise at all,0,Often,No,4,2,Excellent,No,3,Synthetic
60,1,7,2,I do not exercise at all,2,Often,No,4,1,Average,Yes,2,Synthetic
40,1,8,3,I exercise 3 to 5 days a week,8,Sometimes,No,4,1,Average,No,4,Synthetic
23,3,6,2,I do not exercise at all,8,Often,Yes,5,2,Poor,No,2,Synthetic
23,5,7,2,I do not exercise at all,8,Often,Yes,5,1,Poor,No,3,Synthetic
19,5,8,3,I exercise almost every day,2,Sometimes,Yes,4,2,Average,Yes,1,Synthetic
20,3,8,3,I exercise almost every day,0,Rarely,Yes,5,2,Poor,Yes,3,Synthetic
21,1,7,2,I do not exercise at all,5,Sometimes,Yes,4,3,Good,Yes,4,Synthetic
21,3,8,2,I do not exercise at all,0,Often,No,4,1,Excellent,No,3,Synthetic
60,3,6,2,I do not exercise at all,2,Often,No,4,1,Average,Yes,3,Synthetic
20,3,7,5,I exercise almost every day,8,Often,No,5,2,Excellent,Yes,2,Synthetic
21,5,7,3,I exercise 1 to 2 days a week,4,Rarely,No,5,1,Average,Yes,4,Synthetic
60,5,8,2,I do not exercise at all,2,Often,No,5,2,Average,Yes,4,Synthetic
40,4,6,3,I exercise 3 to 5 days a week,8,Sometimes,No,5,3,Average,No,1,Synthetic
60,3,8,2,I do not exercise at all,2,Often,No,4,1,Average,Yes,2,Synthetic
40,4,6,3,I exercise 3 to 5 days a week,8,Sometimes,No,4,2,Average,No,4,Synthetic
21,1,6,2,I do not exercise at all,5,Sometimes,Yes,5,2,Good,Yes,4,Synthetic
21,4,6,2,I do not exercise at all,0,Often,No,5,2,Excellent,No,3,Synthetic
30,4,7,4,I exercise 3 to 5 days a week,4,Sometimes,No,4,1,Average,Yes,1,Synthetic
60,4,7,2,I do not exercise at all,2,Often,No,5,3,Average,Yes,4,Synthetic
21,4,6,2,I do not exercise at all,0,Often,No,5,3,Excellent,No,1,Synthetic
40,3,6,3,I exercise 3 to 5 days a week,8,Sometimes,No,4,1,Average,No,3,Synthetic
21,1,8,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,4,1,Average,No,2,Synthetic
20,1,7,3,I exercise 1 to 2 days a week,3,Sometimes,No,4,2,Average,Yes,1,Synthetic
30,4,7,4,I exercise 3 to 5 days a week,4,Sometimes,No,4,3,Average,Yes,2,Synthetic
21,4,8,4,I exercise 3 to 5 days a week,3,Rarely,Yes,4,1,Average,Yes,4,Synthetic
21,3,7,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,4,1,Average,No,4,Synthetic
34,1,8,3,I do not exercise at all,8,Often,Yes,5,2,Average,No,3,Synthetic
22,5,6,4,I exercise 1 to 2 days a week,0,Often,Yes,4,1,Poor,No,1,Synthetic
19,1,6,3,I exercise almost every day,2,Sometimes,Yes,4,1,Average,Yes,1,Synthetic
20,5,7,3,I exercise 1 to 2 days a week,3,Sometimes,No,4,3,Average,Yes,3,Synthetic
19,4,6,1,I do not exercise at all,0,Often,No,4,1,Excellent,No,1,Synthetic
21,3,8,2,I do not exercise at all,0,Often,No,5,3,Excellent,No,3,Synthetic
19,4,6,2,I do not exercise at all,4,Sometimes,No,4,1,Poor,No,3,Synthetic
36,1,8,2,I do not exercise at all,0,Rarely,No,4,3,Average,No,1,Synthetic
32,1,8,4,I exercise 1 to 2 days a week,0,Sometimes,No,5,2,Average,No,3,Synthetic
19,3,6,2,I do not exercise at all,4,Sometimes,No,5,2,Poor,No,3,Synthetic
21,1,7,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,4,3,Average,No,2,Synthetic
21,1,7,2,I do not exercise at all,5,Sometimes,Yes,4,1,Good,Yes,3,Synthetic
22,4,7,4,I exercise 1 to 2 days a week,0,Often,Yes,5,2,Poor,No,4,Synthetic
21,1,6,5,I exercise 3 to 5 days a week,6,Rarely,Yes,4,1,Average,Yes,4,Synthetic
21,5,8,4,I exercise 3 to 5 days a week,1,Sometimes,Yes,4,2,Average,No,3,Synthetic
30,3,8,4,I exercise 3 to 5 days a week,4,Sometimes,No,4,3,Average,Yes,4,Synthetic
60,3,6,2,I do not exercise at all,2,Often,No,5,1,Average,Yes,3,Synthetic
23,1,7,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,4,2,Good,Yes,4,Synthetic
32,5,7,4,I exercise 1 to 2 days a week,0,Sometimes,No,5,1,Average,No,2,Synthetic
21,4,6,2,I do not exercise at all,5,Sometimes,Yes,4,3,Good,Yes,3,Synthetic
22,3,8,4,I exercise 1 to 2 days a week,0,Often,Yes,4,2,Poor,No,4,Synthetic
21,3,8,4,I exercise 1 to 2 days a week,4,Sometimes,Yes,4,3,Average,Yes,4,Synthetic
20,5,6,3,I exercise almost every day,0,Rarely,Yes,5,3,Poor,Yes,2,Synthetic
21,1,7,4,I exercise 3 to 5 days a week,3,Rarely,Yes,5,1,Average,Yes,1,Synthetic
19,1,8,3,I exercise almost every day,2,Sometimes,Yes,5,1,Average,Yes,2,Synthetic
34,5,6,3,I do not exercise at all,8,Often,Yes,4,1,Average,No,4,Synthetic
21,5,6,5,I exercise 3 to 5 days a week,6,Rarely,Yes,4,2,Average,Yes,2,Synthetic
21,4,8,2,I do not exercise at all,0,Often,No,5,1,Excellent,No,2,Synthetic
21,1,6,4,I exercise 1 to 2 days a week,4,Sometimes,Yes,4,3,Average,Yes,1,Synthetic
21,5,7,2,I do not exercise at all,5,Sometimes,Yes,5,1,Good,Yes,3,Synthetic
19,5,8,3,I exercise almost every day,2,Sometimes,Yes,5,2,Average,Yes,4,Synthetic
20,1,7,3,I exercise 1 to 2 days a week,3,Sometimes,No,4,3,Average,Yes,3,Synthetic
30,4,8,4,I exercise 3 to 5 days a week,4,Sometimes,No,4,2,Average,Yes,2,Synthetic
21,5,6,5,I exercise 3 to 5 days a week,6,Rarely,Yes,4,2,Average,Yes,2,Synthetic
20,4,7,3,I exercise 1 to 2 days a week,3,Sometimes,No,5,2,Average,Yes,1,Synthetic
21,3,7,3,I exercise 1 to 2 days a week,4,Rarely,No,4,3,Average,Yes,2,Synthetic
23,3,6,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,5,3,Good,Yes,2,Synthetic
19,1,8,2,I do not exercise at all,4,Sometimes,No,4,2,Poor,No,2,Synthetic
19,3,6,3,I exercise almost every day,2,Sometimes,Yes,5,1,Average,Yes,1,Synthetic
19,5,7,1,I do not exercise at all,4,Rarely,Yes,4,1,Good,Yes,1,Synthetic
19,4,6,1,I do not exercise at all,0,Often,No,4,3,Excellent,No,1,Synthetic
19,3,7,2,I do not exercise at all,4,Sometimes,No,4,2,Poor,No,1,Synthetic
23,1,8,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,5,1,Good,Yes,3,Synthetic
21,5,8,2,I do not exercise at all,0,Often,No,5,3,Excellent,No,3,Synthetic
21,3,6,5,I exercise 3 to 5 days a week,6,Rarely,Yes,4,2,Average,Yes,4,Synthetic
23,3,6,3,I exercise 1 to 2 days a week,1,Sometimes,Yes,4,2,Good,Yes,1,Synthetic
22,5,8,4,I exercise 1 to 2 days a week,0,Often,Yes,4,2,Poor,No,4,Synthetic
